Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"format-commande-publique","https://github.com/etalab","https://github.com/etalab/format-commande-publique","Documentation du format de référence des données essentielles des marchés publics français",false,"2016-09-07T18:09:28Z","2018-10-29T14:14:44Z",,13,4,"The Unlicense",10,"Shell"
"urbaclic","https://github.com/etalab","https://github.com/etalab/urbaclic","Accéder aux règles d'urbanisme en quelques clics",false,"2016-09-12T09:46:23Z","2018-06-29T20:03:35Z","",2,1,,0,"JavaScript"
"optimouv","https://github.com/etalab","https://github.com/etalab/optimouv","Optimisation des déplacements et de l'organisation des évènements sportifs",false,"2016-10-05T07:44:53Z","2018-01-22T18:47:43Z","https://optimouv.readthedocs.io/",3,0,,0,"HTML"
"retos-civicos","https://github.com/etalab","https://github.com/etalab/retos-civicos",,true,"2016-10-28T13:06:51Z","2018-01-22T18:47:49Z",,1,0,,0,"Ruby"
"sirene","https://github.com/etalab","https://github.com/etalab/sirene","🌬 Ease and speed up the kick off of the #OpenSirene hackathon, it contains tools to split/filter/reduce the huge CSV file.",false,"2016-11-01T13:49:33Z","2018-09-17T13:38:21Z","https://www.etalab.gouv.fr/opensirene-un-hackathon-pour-preparer-louverture-du-registre-des-entreprises-sirene",7,3,"MIT License",0,"Python"
"hackdash","https://github.com/etalab","https://github.com/etalab/hackdash","A quick & dirty fork a Hackdash for the hackathon of the 2016 Open Government Partnership summit in Paris",true,"2016-11-03T17:29:18Z","2018-01-22T18:47:50Z","https://hackathon.ogpsummit.org",0,3,"MIT License",0,"JavaScript"
"ofsearch","https://github.com/etalab","https://github.com/etalab/ofsearch","Data loader and search API for french training organizations.",false,"2016-11-17T14:35:23Z","2018-01-22T18:47:53Z",,0,0,"MIT License",0,"Python"
"organismes-formation","https://github.com/etalab","https://github.com/etalab/organismes-formation",,false,"2016-11-17T18:28:45Z","2018-01-22T18:47:54Z","https://formations.data.gouv.fr",0,1,"MIT License",0,"JavaScript"
"docker-datagouv","https://github.com/etalab","https://github.com/etalab/docker-datagouv","A sample docker-compose stack for Datagouv",false,"2016-12-09T13:04:19Z","2018-01-22T18:47:59Z",,0,0,,0,
"urbaclic-next","https://github.com/etalab","https://github.com/etalab/urbaclic-next","Accéder aux règles d'urbanisme en quelques clics",false,"2016-12-13T11:11:31Z","2018-01-24T20:15:35Z",,1,0,,0,"JavaScript"
