Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"ansible-laclasse-annuaire","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-annuaire","laclasse-annuaire Ansible playbook",false,"2015-05-26T12:59:58Z","2015-05-26T13:02:24Z",,0,0,,0,"Shell"
"ansible-laclasse-register","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-register","App registration role",false,"2015-05-29T08:10:03Z","2015-05-29T08:10:03Z",,0,0,,0,
"ansible-redis","https://github.com/erasme","https://github.com/erasme/ansible-redis","Basic redis role",false,"2015-06-01T09:40:28Z","2015-06-01T09:40:28Z",,0,1,,0,
"ansible-laclasse-portail","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-portail","Ansible role for laclasse-portail",false,"2015-06-03T13:32:30Z","2015-06-03T13:32:43Z",,0,0,,0,"Shell"
"ansible-laclasse-cahiertextes","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-cahiertextes","laclasse cahiertextes role",false,"2015-06-16T09:27:52Z","2015-06-22T13:35:00Z",,0,0,,0,"Shell"
"ansible-laclasse-docs","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-docs","Ansible role for laclasse-docs",false,"2015-06-23T09:51:00Z","2015-06-23T09:51:09Z",,0,0,,0,"Shell"
"ansible-laclasse-suiviperso","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-suiviperso","Laclasse suivi-perso Ansible role",false,"2015-06-24T04:52:42Z","2015-06-24T04:54:11Z",,0,0,,0,"Shell"
"ansible-laclasse-adminpanel","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-adminpanel","Adminpanel laclasse ansible role",false,"2015-07-07T07:25:08Z","2015-08-11T12:00:45Z",,0,0,,0,"Shell"
"ansible-laclasse-backend","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-backend","Ansible role for loadbalancer backend application deployment",false,"2015-08-11T12:29:18Z","2015-08-11T12:29:53Z","",0,0,,0,
"ansible-laclasse-frontend","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-frontend","Ansible role for front end deployment",false,"2015-08-11T12:30:17Z","2015-08-11T12:31:28Z",,0,0,,0,"Shell"
"ansible-memcached","https://github.com/erasme","https://github.com/erasme/ansible-memcached","Memcached basic ansible role",false,"2015-08-11T12:33:43Z","2015-08-11T12:33:52Z",,0,1,,0,"Shell"
"ansible-laclasse-publipostage","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-publipostage","Publipostage ansible playbook",false,"2015-08-25T16:37:15Z","2015-08-25T16:37:49Z",,0,0,,0,"Shell"
"ansible-mysql","https://github.com/erasme","https://github.com/erasme/ansible-mysql","Basic mysql ansible role",false,"2015-08-26T08:29:53Z","2015-08-26T08:30:45Z",,0,0,,0,"Shell"
"ansible-mysql-client","https://github.com/erasme","https://github.com/erasme/ansible-mysql-client","Ansible mysql client libraries role",false,"2015-08-26T08:32:37Z","2015-08-26T08:32:50Z",,0,0,,0,"Shell"
"ansible-interfaces","https://github.com/erasme","https://github.com/erasme/ansible-interfaces","Minimalist debian-style interface Ansible role",true,"2015-08-26T09:15:08Z","2015-08-26T09:15:08Z",,0,0,,0,"Shell"
"ansible-sshd","https://github.com/erasme","https://github.com/erasme/ansible-sshd","Ansible sshd role",true,"2015-08-26T10:15:04Z","2015-07-22T16:05:30Z",,0,0,,0,
"ansible-tmux","https://github.com/erasme","https://github.com/erasme/ansible-tmux","Simple tmux ansible role",false,"2015-10-21T14:10:41Z","2015-10-21T14:11:20Z",,0,1,,0,"Shell"
"erats","https://github.com/erasme","https://github.com/erasme/erats","TypeScript library to write web app",false,"2017-11-06T12:36:13Z","2018-09-26T14:56:01Z",,1,2,"MIT License",0,"JavaScript"
"carto","https://github.com/erasme","https://github.com/erasme/carto","Cartographie des projets dynamique",false,"2018-05-15T14:34:47Z","2018-08-27T09:23:53Z",,0,0,"GNU Affero General Public License v3.0",0,"JavaScript"
"flipdots","https://github.com/erasme","https://github.com/erasme/flipdots","Système de pilotage de panneaux flip-dots",false,"2018-06-15T09:16:24Z","2018-06-18T13:08:14Z",,0,0,"MIT License",0,"JavaScript"
"cuisine_collective","https://github.com/erasme","https://github.com/erasme/cuisine_collective",,false,"2018-07-27T09:50:33Z","2018-09-25T16:11:04Z",,0,0,,0,"TypeScript"
"liste_courses","https://github.com/erasme","https://github.com/erasme/liste_courses",,false,"2018-08-06T07:54:08Z","2018-09-11T14:20:42Z",,0,0,,0,"JavaScript"
